latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
,,4,0.696,0,0,-2,0,,,,,-60,20:42:56,625
,,3,0.735,0,0,-1,1,,,,,,,
,,3,0.81,0,0,0,2,,,,,,,
,,3,0.849,0,0,0,3,,,,,,,
,,3,0.897,0,0,0,4,,,,,,,
,,3,0.95,0,0,0,5,,,,,,,
,,3,0.943,0,0,0,6,,,,,,,
,,3,0.943,0,0,0,7,,,,,,,
,,3,0.936,0,0,0,8,,,,,,,
,,3,0.988,0,0,0,9,,,,,,,
,,3,0.996,0,0,0,10,,,,,-60,20:42:56,838
,,3,1.046,0,0,0,11,,,,,,,
,,3,1.047,0,0,0,12,,,,,,,
,,3,0.812,0,0,0,13,,,,,,,
,,3,0.943,0,0,0,14,,,,,,,
,,3,0.89,0,0,0,15,,,,,,,
,,3,0.834,0,0,0,16,,,,,,,
,,3,0.93,0,0,0,17,,,,,,,
,,3,0.75,0,0,0,18,,,,,,,
,,3,0.708,0,0,0,19,,,,,,,
,,3,0.735,0,0,0,20,,,,,-60,20:42:57,044
,,3,0.604,0,0,0,21,,,,,,,
,,3,0.688,0,0,0,22,,,,,,,
,,3,0.54,0,0,0,23,,,,,,,
,,3,0.441,0,0,0,24,,,,,,,
,,3,0.434,0,0,0,25,,,,,,,
,,3,0.302,0,0,0,26,,,,,,,
,,3,0.349,0,0,0,27,,,,,,,
,,3,0.161,0,0,0,28,,,,,,,
,,3,0.006,0,0,0,29,,,,,,,
,,3,0.057,0,0,0,30,,,,,-60,20:42:57,255
,,3,-0.05,0,0,0,31,,,,,,,
,,3,-0.107,0,0,0,32,,,,,,,
,,3,-0.203,0,0,0,33,,,,,,,
,,3,-0.35,0,0,0,34,,,,,,,
,,3,-0.359,0,0,0,35,,,,,,,
,,3,-0.414,0,0,0,36,,,,,,,
,,3,-0.496,0,0,0,37,,,,,,,
,,3,-0.583,0,0,0,38,,,,,,,
,,3,-0.673,0,0,0,39,,,,,,,
,,3,-0.701,0,0,0,40,,,,,-60,20:42:57,435
,,3,-0.807,0,0,0,41,,,,,,,
,,3,-0.836,0,1,0,42,,,,,,,
,,3,-0.849,0,1,0,43,,,,,,,
,,3,-0.914,0,1,0,44,,,,,,,
,,3,-0.921,0,1,0,45,,,,,,,
,,3,-0.929,0,1,0,46,,,,,,,
,,3,-0.99,0,1,0,47,,,,,,,
,,3,-1.053,0,1,0,48,,,,,,,
,,3,-1.029,0,1,0,49,,,,,,,
,,3,-1.013,0,1,0,50,,,,,-60,20:42:57,646
,,3,-1.026,0,1,0,51,,,,,,,
,,3,-1.05,0,1,0,52,,,,,,,
,,3,-0.999,0,1,0,53,,,,,,,
,,3,-0.918,0,1,0,54,,,,,,,
,,3,-0.917,0,1,0,55,,,,,,,
,,3,-0.897,0,1,0,56,,,,,,,
,,3,-0.887,0,1,0,57,,,,,,,
,,3,-0.817,0,1,0,58,,,,,,,
,,3,-0.734,0,1,0,59,,,,,,,
,,3,-0.708,0,1,0,60,,,,,-60,20:42:57,826
,,3,-0.634,0,1,0,61,,,,,,,
,,3,-0.582,0,1,0,62,,,,,,,
,,3,-0.487,0,1,0,63,,,,,,,
,,3,-0.45,0,1,0,64,,,,,,,
,,3,-0.421,0,1,0,65,,,,,,,
,,3,-0.346,0,1,0,66,,,,,,,
,,3,-0.234,0,1,0,67,,,,,,,
,,3,-0.163,0,1,0,68,,,,,,,
,,3,-0.091,0,1,0,69,,,,,,,
,,3,-0.029,0,1,0,70,,,,,-60,20:42:58,035
,,3,0.025,0,1,0,71,,,,,,,
,,3,0.108,0,1,0,72,,,,,,,
,,3,0.185,0,1,0,73,,,,,,,
,,3,0.264,0,1,0,74,,,,,,,
,,3,0.356,0,1,0,75,,,,,,,
,,3,0.415,0,1,0,76,,,,,,,
,,3,0.448,0,1,0,77,,,,,,,
,,3,0.544,0,1,0,78,,,,,,,
,,6,0.647,0,2,-1,79,,,,,,,
,,3,0.707,0,2,-1,80,,,,,-62,20:42:58,246
,,3,0.73,0,2,-1,81,,,,,,,
